indonesia,minang
"aku / saya","ambo, denai, aden"
"kamu","ang, waang"
"engkau", "kau"
"dia","inyo"
"kami / kita","kito"
"bahasa", "bahaso"
"mereka","urang-urang"
"ini","iko"
"cara", "caro"
"ya", "yo"
"cepat", "capek"
"ingat", "ingek"
"tidak", "indak"
"kaya", "kayo"
"dapat", "dapek"
"belajar", "baraja"
"mengikuti", "maikuik an"
"di sini","siko"
"sama", "samo"
"atas", "ateh"
"seperti", "kayak"
"dipanggil", "dipanggia"
"biasa", "biaso"
"di situ / di sana","sinan"
"siapa","sia, siapo"
"apa","a, apo"
"saling", "saliang"
"di mana","dima, dimano"
"katanya", "keceknyo"
"kata", "kecek"
"barat", "baraik"
"mengosip / membicarakan orang lain", "mangosip"
"mana", "ma"
"kapan","bilo"
"bagaimana","baa, baapo, co a, bagaimano"
"tidak / bukan","bukan, indak"
"semua","sado"
"banyak","rami, banyak"
"beberapa","babarapo, babara"
"sedikit","sakenek, sakociak, saketek, sangenek"
"lain","lain"
"satu","ciek, satu, aso"
"dua","duo"
"bertanya", "batanyo"
"tiga","tigo"
"empat","ampek, ompek"
"lima","limo"
"besar","gadang, godang, basa, bosa"
"panjang","panjang"
"lebar","leba"
"kasar", "kasa"
"tebal","taba, toba"
"berat","barek, borek"
"kecil","kenek, ketek, kaciak, kociak"
"pendek","pendek"
"sempit","sampik"
"tipis","tipih"
"membantu", "mambantu"
"menjawab", "manjawek"
"perempuan / wanita","padusi"
"laki-laki / pria","lalaki"
"manusia","urang, ughang"
"anak","anak"
"istri","bini"
"suami","suami"
"ibu","amak, omak, mandeh"
"ayah / bapak","ayah, apak"
"binatang","binatang"
"ikan","ikan, lauak"
"burung","buruang, unggeh"
"anjing","anjiang"
"kutu","kutu"
"ular","ula"
"sanggup", "talok"
"cacing","caciang"
"pohon","pohon"
"hutan","rimbo"
"ranting","dahan"
"buah","buah"
"sebagai", "sabagai"
"biji","bijo"
"daun","daun"
"akar","urek"
"kulit kayu","kulik kayu"
"bunga","bungo"
"rumput","rumpuik"
"tali","tali"
"lucu", "lawak"
"kulit","kulik"
"daging","dagiang"
"darah","darah"
"tulang","tulang"
"lemak","lamak, lomak"
"telur","talua, tolua"
"tanduk","tanduak"
"ekor","ikua"
"bulu","bulu"
"rambut","rambuik, abuak"
"kepala","kapalo"
"telinga","talingo"
"mata","mato"
"hidung","iduang"
"mulut","muluik, muncuang"
"gigi","gigi"
"lidah","lidah"
"kuku","kuku"
"kaki","kaki"
"tungkai","tapak kaki"
"lutut","lutuik"
"tangan","tangan"
"sayap","sayok"
"perut","paruik, poruik"
"usus","tambusu, usus"
"leher","lihia, lihie"
"punggung","pungguang"
"payudara","susu"
"jantung","jantuang"
"hati","ati"
"untuk", "untuak"
"terserah", "tasarah"
"minum (meminum)","maminum"
"makan (memakan)","mamakan"
"gigit (menggigit)","manggigik"
"isap (mengisap)","maisok"
"ludah (meludah)","maludah"
"muntah","mamuntah"
"tiup (meniup)","maambuih"
"napas (bernapas)","baangok"
"tawa (tertawa)","galak"
"lihat (melihat)","maliek"
"dengar (mendengar)","mandanga, mandonga"
"tahu (mengetahui)","mangarati, mangaroti"
"pikir (berpikir)","bapikia"
"cium (mencium, membau)","mancium, maidu"
"takut","takuik"
"tidur","lalok, tidua"
"hidup","iduik"
"mati","mati"
"terbaru", "tabaru"
"membuat", "mambuek"
"dan", "jo"
"yang", "je"
"itu", "tu"
"apakah benar", "yo bana"
"bunuh (membunuh)","mambunuah"
"kelahi (berkelahi)","bacakak, batumbuak, bagaluik"
"buru (berburu)","baburu"
"pukul (memukul)","mamukua, malantuang"
"potong (memotong)","mangarek, mamotong"
"belah (membelah)","mambalah"
"tusuk (menusuk)","manusuak, mancucuak"
"garuk (menggaruk)","mangguriah"
"gali (menggali)","manggali, mangkali"
"renang (berenang)","baranang"
"terbang","tabang"
"jalan (berjalan)","bajalan"
"datang","datang, tibo"
"baring (berbaring)","babariang, bagolek"
"duduk","duduak"
"diri (berdiri)","tagak, badiri"
"belok (berbelok)","babelok"
"jatuh","jatuah"
"beri (memberi)","mambari, maagiah"
"pegang (memegang)","mamacik"
"peras (memeras)","marameh"
"gosok (menggosok)","manggusuak"
"cuci (mencuci)","mambasuah, mancuci, manyasah"
"usap (mengusap)","maapuih"
"tarik (menarik)","maegang, maelo"
"dorong (mendorong)","mandorong, manulak"
"lempar (melempar)","malempa, mancampak"
"ikat (mengikat)","mangikek, mangabek, mangobek"
"jahit (menjahit)","manjaik"
"hitung (menghitung)","maetong"
"kata (berkata)","bakato"
"nyanyi (bernyanyi)","banyanyi, badendang"
"main (bermain)","bamain"
"apung (mengapung)","mangambang"
"alir (mengalir)","mangalia"
"beku (membeku)","mambaku"
"bengkak (membengkak)","mambangkak"
"matahari","matoari"
"bulan","bulan"
"bintang","bintang"
"air","aiaaie"
"hujan","ujan"
"sungai","sungai, sei, batang aia"
"danau","danau"
"laut","lauik"
"garam","garam"
"batu","batu"
"pasir","pasia, kasiak"
"debu","abu"
"tanah","bumi"
"awan","awan"
"kabut","kabuik"
"langit","langik"
"angin","angin"
"salju","salaju"
"es","es"
"asap","asok"
"api","api"
"abu","abu"
"bakar (membakar)","baka"
"jalan","jalan"
"gunung","gunuang"
"merah","merah, sirah"
"hijau","ijau"
"kuning","kuniang"
"putih","putiah"
"hitam","itam"
"malam","malam"
"hari / siang","ari"
"tahun","tahun"
"hangat","angek"
"dingin","dingin, sajuak"
"penuh","panuah"
"baru","baru"
"lama / tua","lamo"
"baik","rancak, elok"
"buruk","buruak"
"busuk","busuak"
"kotor","kumuah"
"lurus","luruih"
"bulat","bulek"
"tajam","tajam"
"tumpul","tumpua"
"licin","licin"
"basah","basah"
"kering","kariang"
"betul","batua"
"dekat","dakek"
"jauh","jauah"
"kanan","suok"
"kiri","kida"
"di","di"
"dalam (di dalam)","dalam"
"dengan","jo"
"beruntung", "baruntuang"
"dan","jo"
"kalau","kok, jikok"
"karena","karano, dek"
"nama","namo"
"mencoba", "mancubo"
"lagi", "liak"
"terus", "tu"
"enak", "lamak"
"berbicara", "bicaro, mangecek"
"benar", "batua, bana"
"orang", "urang"
"menolong", "manolong"
"terkini", "takini"
"kabar", "kaba"
"menggunakan", "pakai"
"pertama", "pertamo"
"kedua", "kaduo"
"ketiga", "katigo"
"keempat", "kaampek"
"kelima", "kalimo"
"terakhir", "tarakhir"